REG.CGE;NÚMERO;ÓRGÃO;CONVENENTE;CELEBRAÇÃO;PUBLICAÇÃO;OBJETO;VIGÊNCIA;VALOR TOTAL
16-80811-8;0331/2016;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;FUNDAÇÃO DE APOIO A PESQUISA DO ESTADO DA PARAÍBA;1/8/2016;4/8/2016;DESENVOLVER KITS DE ENSINO E APLICAÇÃO A SEREM UTILIZADOS EM ESCOLAS DE ENSINO MÉDIO DO ESTADO DA PARAÍBA,QUE ENGLOBEM UMA METODOLOGIA DIFERENCIADA DE ENSINO E DIVERSAS PLATAFORMAS DE ENSINO DA ÁREA TECNOLÓGICA,COM VÍDEO AULAS E APLICATIVOS DE DISPOSITIVOS MÓVEIS COMO TABLETS E CELULARES,PERMITINDO,ASSIM,O MELHOR APRENDIZADO DOS ESTUDANTES.;31/12/2016;729.833,0
16-80810-0;0323/2016;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;FUNDAÇÃO DE APOIO A PESQUISA DO ESTADO DA PARAÍBA;1/8/2016;4/8/2016;O PRESENTE INSTRUMENTO TEM COMO OBJETIVO A INICIATIVA DENOMINADA GIRAMUNDO FINLÂNDIA,COMPOSTA PELOS PROGRAMAS EDUCADORES PARAÍBA- PROGRAMA DE DESENVOLVIMENTO PROFISSIONAL (EDUCADORES-PB) E AMAZING BUSINESS TRAIN (ABT),COMO PARTE DAS AÇÕES DE FORTALECIMENTO DA EDUCAÇÃO NO ESTADO DA PARAÍBA,DA CONCESSÃO PARA PROFESSORES,COORDENADORES E TÉCNICOS RELACIONADOS AO PROGRAMA GIRAMUNDO FINLÂNDIA FAPESQ-SEE.;31/12/2016;926.224,5
16-80798-7;0056/2016;SEDH - 27.0001 - SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;CASA DO MENINO / CAMPINA GRANDE;25/7/2016;2/8/2016;CONSTITUI OBJETO DESTE CONVÊNIO TRANSFERIR RECURSOS FINANCEIROS À CONVENENTE,PARA DAR CONTINUIDADE AO PROJETO DE PROMOÇÃO INTEGRAL,O QUAL PERMITE O ATENDIMENTO DE 105 (CENTO E CINCO) CRIANÇAS E ADOLESCENTES EM REGIME SEMI-INTERNATO,PROVINDAS DE FAMÍLIAS QUE VIVEM PRATICAMENTE ABAIXO DA POBREZA,COM A COMPRA DE ALIMENTAÇÃO E MATERIAL DE LIMPEZA,ALÉM DE REALIZAR ATIVIDADES EDUCATIVAS A FIM DE FORTALECER VÍNCULOS FAMILIARES E COMUNITÁRIOS,CONFORME ESPECIFICAÇÕES NO PLANO DE TRABALHO,ANEXO AO PROCESSO. ;31/12/2016;82.474,23
16-80743-0;0063/2016;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;FUNDAÇÃO ASSISTENCIAL DA PARAÍBA  -  FAP;25/5/2016;1/7/2016;O PRESENTE CONVÊNIO TEM POR OBJETO FORTALECER AS AÇÕES DESENVOLVIDAS PELA CONVENENTE,DESTINANDO RECURSOS PARA A AQUISIÇÃO DE MEDICAMENTOS PARA PACIENTES EM TRATAMENTO DE QUIMIOTERAPIA,PORTADORES DE PATOLOGIAS ONCOLÓGICAS,COM A REALIZAÇÃO DE 11.242 (ONZE MIL,DUZENTOS E QUARENTA E DOIS) SESSÕES/ANO.;31/12/2016;848.720,0
16-80721-9;0003/2016;PROCON - 09.203 - PROCON/PB - PROTEÇÃO E DEFESA DO CONSUMIDOR DO ESTADO DA PARÍBA;FACULDADE REINALDO RAMOS - CESREI;1/6/2016;24/6/2016;FORMALIZAR JUNTO A INSTITUIÇÃO DE ENSINO - FACULDADE REINALDO RAMOS - CESREI E O PROCON-PB,CONDIÇÕES BÁSICAS PARA A REALIZAÇÃO DE ESTÁGIO PARA O CURSO DE DIREITO.;1/6/2018;18.000,0
16-80710-3;0001/2016;UEPB - 22.0401 - UNIVERSIDADE ESTADUAL DA PARAÍBA;SECRETARIA MUNICIPAL DE SAÚDE DE CAMPINA GRANDE;25/5/2016;23/6/2016;VISA O DESENVOLVIMENTO DE ATIVIDADES CONJUNTAS PARA A OPERACIONALIZAÇÃO DE PROGRAMAS DE ESTÁGIO SUPERVISIONADO,CURRICULAR,DO CURSO MINISTRADO PELA FACULDADE/ESCOLA TÉCNICA E PROPORCIONARÁ AO   ESTUDANTE   SITUAÇÕES   PROFISSIONAIS   REAIS   PARA   APLICAÇÃO,APRIMORAMENTO   E   COMPLEMENTAÇÃO   DOS   CONHECIMENTOS   ADQUIRIDOS   COMO   ELEMENTO CONSTITUTIVO DO MOVIMENTO  PERMANENTE  DE   AÇÃO/REFLEXÃO,TEORIA/PRÁTICA,TENDO  COMO  REFERÊNCIA BÁSICA A REALIDADE SOCIAL CONCRETA.;25/5/2021;0,0
16-80697-2;0288/2016;SEE - 22.0001 - SECRETARIA DE ESTADO DA EDUCAÇÃO;CONSELHO ESCOLAR DA ESCOLA EST. DE ENS. FUND. E MÉDIO ELPIDIO DE ALMEIDA- CAMPINA GRANDE;16/6/2016;21/6/2016;ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NO CONSELHO ESCOLAR DA EEEM DR. ELPIDIO DE ALMEIDA.;31/12/2016;37.260,0
16-80689-1;0044/2016;SEDH - 27.0001 - SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;INSTITUTO SÃO VICENTE DE PAULO / CAMPINA GRANDE;30/5/2016;18/6/2016;CONSTITUI OBJETO DESTE CONVÊNIO TRANSFERIR RECURSOS FINANCEIROS À CONVENENTE,DESTINADOS À ASSISTÊNCIA AOS IDOSOS INTERNOS NO INSTITUTO SÃO VICENTE DE PAULO,ATRAVÉS DA ALIMENTAÇÃO,HIGIENE E LIMPEZA,ALÉM DO CUIDADO MÉDICO,DANDO POSSIBILIDADE DE UMA VIDA MAIS DIGNA AOS IDOSOS,CONFORME ESPECIFICAÇÕES NO PLANO DE TRABALHO,ANEXO AO PROCESSO SEDH Nº 773/2016-7,PARTE INTEGRANTE DESTE INSTRUMENTO,INDEPENDENTEMENTE DE TRANSCRIÇÃO. ;31/12/2016;103.092,78
16-80679-4;0037/2016;SEDH - 27.0001 - SECRETARIA DE ESTADO DO DESENVOLVIMENTO HUMANO;ORGANIZAÇÃO PAPEL MARCHE - PAPEL MARCHE / CAMPINA GRANDE;5/5/2016;15/6/2016;TRANSFERIR RECURSOS FINANCEIROS À CONVENENTE,DESTINADOS À MANUTENÇÃO DA ORGANIZAÇÃO PAPEL MARCHÊ DE ECONOMIA SOLIDÁRIA DE ASSISTÊNCIA E APOIO AOS PNE´S (PESSOAS COM NECESSIDADES ESPECIAIS),AMPLIANDO O DESENVOLVIMENTO PSICOPEDAGÓGICO E CLÍNICO PARA CRIANÇAS E ADOLESCENTES PORTADORES DE NECESSIDADES ESPECIAIS,TAIS COMO AUTISMO,DEFICIÊNCIA MENTAL E FÍSICA,DISTÚRBIO NO COMPORTAMENTO,APRENDIZAGEM,DENTRE OUTROS,CONFORME PLANO DE TRABALHO;31/12/2016;103.092,78
16-80643-3;0065/2016;SES - 25.0001 - SECRETARIA DE ESTADO DA SAÚDE;ONG - ESPERANÇA NO AMANHÃ - ENA;6/6/2016;8/6/2016;FOMENTAR O PROJETO CRESCENDO DE BEM COM A VIDA 2015,QUE VISA CONTRIBUIR PARA MELHORIA DA QUALIDADE DE VIDA DE 83 (OITENTA E TRÊS) CRIANÇAS E ADOLESCENTES VIVENDO E CONVIVENDO COM HIV E DOENTES DE AIDS CADASTRADOS NO PROJETO,ORIUNDAS DE MAIS DE 30 (TRINTA) MUNICÍPIOS DO ESTADO DA PARAÍBA PROMOVENDO UMA INFÂNCIA DIGNA,POSSIBILITANDO  A FORMAÇÃO DA CIDADANIA,ALÉM DE PRESTAR ATENDIMENTO JURÍDICO,PSICOSSOCIAL E NUTRICIONAL AS CRIANÇAS  ADOLESCENTES CADASTRADOS NO PROJETO.;31/10/2016;21.670,0
