ID,DATA_INICIO,DATA_FIM,VALOR_TOTAL,VALOR_EMPENHADO,DESCRICAO,STATUS,UF,MUNICIPIO,AREA,TIPO
16-80811-8,4/8/2016,31/12/2016,729833,NA,"DESENVOLVER KITS DE ENSINO E APLICAÇÃO A SEREM UTILIZADOS EM ESCOLAS DE ENSINO MÉDIO DO ESTADO DA PARAÍBA,QUE ENGLOBEM UMA METODOLOGIA DIFERENCIADA DE ENSINO E DIVERSAS PLATAFORMAS DE ENSINO DA ÁREA TECNOLÓGICA,COM VÍDEO AULAS E APLICATIVOS DE DISPOSITIVOS MÓVEIS COMO TABLETS E CELULARES,PERMITINDO,ASSIM,O MELHOR APRENDIZADO DOS ESTUDANTES.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80810-0,4/8/2016,31/12/2016,926224.5,NA,"O PRESENTE INSTRUMENTO TEM COMO OBJETIVO A INICIATIVA DENOMINADA GIRAMUNDO FINLÂNDIA,COMPOSTA PELOS PROGRAMAS EDUCADORES PARAÍBA- PROGRAMA DE DESENVOLVIMENTO PROFISSIONAL (EDUCADORES-PB) E AMAZING BUSINESS TRAIN (ABT),COMO PARTE DAS AÇÕES DE FORTALECIMENTO DA EDUCAÇÃO NO ESTADO DA PARAÍBA,DA CONCESSÃO PARA PROFESSORES,COORDENADORES E TÉCNICOS RELACIONADOS AO PROGRAMA GIRAMUNDO FINLÂNDIA FAPESQ-SEE.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80798-7,2/8/2016,31/12/2016,82474.23,NA,"CONSTITUI OBJETO DESTE CONVÊNIO TRANSFERIR RECURSOS FINANCEIROS À CONVENENTE,PARA DAR CONTINUIDADE AO PROJETO DE PROMOÇÃO INTEGRAL,O QUAL PERMITE O ATENDIMENTO DE 105 (CENTO E CINCO) CRIANÇAS E ADOLESCENTES EM REGIME SEMI-INTERNATO,PROVINDAS DE FAMÍLIAS QUE VIVEM PRATICAMENTE ABAIXO DA POBREZA,COM A COMPRA DE ALIMENTAÇÃO E MATERIAL DE LIMPEZA,ALÉM DE REALIZAR ATIVIDADES EDUCATIVAS A FIM DE FORTALECER VÍNCULOS FAMILIARES E COMUNITÁRIOS,CONFORME ESPECIFICAÇÕES NO PLANO DE TRABALHO,ANEXO AO PROCESSO.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80743-0,1/7/2016,31/12/2016,848720,NA,"O PRESENTE CONVÊNIO TEM POR OBJETO FORTALECER AS AÇÕES DESENVOLVIDAS PELA CONVENENTE,DESTINANDO RECURSOS PARA A AQUISIÇÃO DE MEDICAMENTOS PARA PACIENTES EM TRATAMENTO DE QUIMIOTERAPIA,PORTADORES DE PATOLOGIAS ONCOLÓGICAS,COM A REALIZAÇÃO DE 11.242 (ONZE MIL,DUZENTOS E QUARENTA E DOIS) SESSÕES/ANO.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80721-9,24/6/2016,1/6/2018,18000,NA,"FORMALIZAR JUNTO A INSTITUIÇÃO DE ENSINO - FACULDADE REINALDO RAMOS - CESREI E O PROCON-PB,CONDIÇÕES BÁSICAS PARA A REALIZAÇÃO DE ESTÁGIO PARA O CURSO DE DIREITO.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80710-3,23/6/2016,25/5/2021,0,NA,"VISA O DESENVOLVIMENTO DE ATIVIDADES CONJUNTAS PARA A OPERACIONALIZAÇÃO DE PROGRAMAS DE ESTÁGIO SUPERVISIONADO,CURRICULAR,DO CURSO MINISTRADO PELA FACULDADE/ESCOLA TÉCNICA E PROPORCIONARÁ AO   ESTUDANTE   SITUAÇÕES   PROFISSIONAIS   REAIS   PARA   APLICAÇÃO,APRIMORAMENTO   E   COMPLEMENTAÇÃO   DOS   CONHECIMENTOS   ADQUIRIDOS   COMO   ELEMENTO CONSTITUTIVO DO MOVIMENTO  PERMANENTE  DE   AÇÃO/REFLEXÃO,TEORIA/PRÁTICA,TENDO  COMO  REFERÊNCIA BÁSICA A REALIDADE SOCIAL CONCRETA.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80697-2,21/6/2016,31/12/2016,37260,NA,"ESTABELECER UM REGIME DE MÚTUA COOPERAÇÃO,VISANDO A SUPLEMENTAÇÃO DO FORNECIMENTO DE ALIMENTAÇÃO ESCOLAR NO CONSELHO ESCOLAR DA EEEM DR. ELPIDIO DE ALMEIDA.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80689-1,18/6/2016,31/12/2016,103092.78,NA,"CONSTITUI OBJETO DESTE CONVÊNIO TRANSFERIR RECURSOS FINANCEIROS À CONVENENTE,DESTINADOS À ASSISTÊNCIA AOS IDOSOS INTERNOS NO INSTITUTO SÃO VICENTE DE PAULO,ATRAVÉS DA ALIMENTAÇÃO,HIGIENE E LIMPEZA,ALÉM DO CUIDADO MÉDICO,DANDO POSSIBILIDADE DE UMA VIDA MAIS DIGNA AOS IDOSOS,CONFORME ESPECIFICAÇÕES NO PLANO DE TRABALHO,ANEXO AO PROCESSO SEDH Nº 773/2016-7,PARTE INTEGRANTE DESTE INSTRUMENTO,INDEPENDENTEMENTE DE TRANSCRIÇÃO.",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80679-4,15/6/2016,31/12/2016,103092.78,NA,"TRANSFERIR RECURSOS FINANCEIROS À CONVENENTE,DESTINADOS À MANUTENÇÃO DA ORGANIZAÇÃO PAPEL MARCHÊ DE ECONOMIA SOLIDÁRIA DE ASSISTÊNCIA E APOIO AOS PNE´S (PESSOAS COM NECESSIDADES ESPECIAIS),AMPLIANDO O DESENVOLVIMENTO PSICOPEDAGÓGICO E CLÍNICO PARA CRIANÇAS E ADOLESCENTES PORTADORES DE NECESSIDADES ESPECIAIS,TAIS COMO AUTISMO,DEFICIÊNCIA MENTAL E FÍSICA,DISTÚRBIO NO COMPORTAMENTO,APRENDIZAGEM,DENTRE OUTROS,CONFORME PLANO DE TRABALHO",NA,PB,CAMPINA GRANDE,NA,Convenio
16-80643-3,8/6/2016,31/10/2016,21670,NA,"FOMENTAR O PROJETO CRESCENDO DE BEM COM A VIDA 2015,QUE VISA CONTRIBUIR PARA MELHORIA DA QUALIDADE DE VIDA DE 83 (OITENTA E TRÊS) CRIANÇAS E ADOLESCENTES VIVENDO E CONVIVENDO COM HIV E DOENTES DE AIDS CADASTRADOS NO PROJETO,ORIUNDAS DE MAIS DE 30 (TRINTA) MUNICÍPIOS DO ESTADO DA PARAÍBA PROMOVENDO UMA INFÂNCIA DIGNA,POSSIBILITANDO  A FORMAÇÃO DA CIDADANIA,ALÉM DE PRESTAR ATENDIMENTO JURÍDICO,PSICOSSOCIAL E NUTRICIONAL AS CRIANÇAS  ADOLESCENTES CADASTRADOS NO PROJETO.",NA,PB,CAMPINA GRANDE,NA,Convenio
